nama_produk,harga,nama_toko,kota,terjual,rating
SEBLAK KERING PEDAS DAUN JERUK,Rp17.500,BociKakang,Jakarta Selatan,1rb+ terjual,4.6
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp17.000,Central Seblak Nusantara,Tangerang Selatan,2rb+ terjual,4.9
Seblak Instan Bang Satria Kemasan Premium 1 PCS,Rp21.250Rp25.000,Pusat Pajamas Tasik,Tasikmalaya,8 terjual,5.0
Makaroni bantet pedas daun jeruk 1kg makroni bantet seblak pedas gurih,Rp14.960,camilanqu_shop,Kab. Majalengka,26 terjual,4.7
seblak instant sajodo snak,Rp18.950,hikmah berkah jaya,Jakarta Barat,1rb+ terjual,4.9
seblak instant komplit bumbu cikruh bandung aufaro snack,Rp6.800,AUFARO SNACK,Kab. Bandung Barat,500+ terjual,4.9
paket mix 12PCS boci cuanki seblak,Rp38.999,nayismail,Cimahi,50+ terjual,4.9
Cuanki Lidah 50 pcs topingan seblak baso Aci bakso cuanki,Rp14.000,Distributor Cuanki dan Seblak,Kab. Bekasi,750+ terjual,4.9
Seblak pedas kerupuk pedas kiloan 1 kg,Rp35.000,RIKI STORE 97,Kab. Bogor,100+ terjual,4.7
3 SEBLAK FREE BASO ACI,Rp61.583Rp90.000,Sajodo Snack & Food,Tasikmalaya,100+ terjual,4.9
GURILEM MINI 1KG Siomay Kering Toping Baso Aci Cuanki Seblak,Rp29.000,Pedas Gilaa,Surabaya,1rb+ terjual,4.9
Agen Seblak Mommy,Rp9.999,Kenal Jaya Bandung,Bandung,4rb+ terjual,4.9
SEBLAK INSTAN NGABRET BANDUNG - SURABAYA SEBLAK INSTAN KOMPLIT,Rp5.048Rp5.099,Uai Food,Surabaya,50+ terjual,4.5
S1 Seblak Instan Bang Satria Seuhah,Rp28.000,Ruth Store',Jakarta Pusat,6 terjual,5.0
Cuankie Tahu Gepeng Topping Baso Aci Seblak,Rp22.499,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100+ terjual,4.9
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,Rp62.000Rp90.000,Sajodo Snack & Food,Tasikmalaya,100+ terjual,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,Rp16.000,Aydaa Snack,Surakarta,100+ terjual,4.9
Cipak Koceak Cirambay Cireng Seblak Basreng Bojot khas tasik camilan,Rp10.000,AMANA SNACK,Tangerang Selatan,100+ terjual,4.7
