nama_produk,harga,nama_toko,kota,terjual,rating
SEBLAK INSTAN NGABRET BANDUNG - SURABAYA SEBLAK INSTAN KOMPLIT,5048,Uai Food,Surabaya,50,4.5
S1 Seblak Instan Bang Satria Seuhah,28000,Ruth Store',Jakarta Pusat,6,5.0
Cuankie Tahu Gepeng Topping Baso Aci Seblak,22499,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,100,4.9
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,62000,Sajodo Snack & Food,Tasikmalaya,100,5.0
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,100,4.9
Cipak Koceak Cirambay Cireng Seblak Basreng Bojot khas tasik camilan,10000,AMANA SNACK,Tangerang Selatan,100,4.7
MAKARONI bantet 70gr krupuk SEBLAK krupuk UDANG KERUPUK BANTET,2600,NomeL Shop,Surabaya,500,4.8
Kylafood Paket (3 Seblak Original 2 Batagor kuah),95000,kylafood,Bandung,3000,4.9
TOPPING SEBLAK/BASO ACI PAKET MIX TERMURAH/CUANKI/CUANKIE,34999,ArfaOnlineShop,Tangerang,100,4.9
KerUpuk Seblak Kerupuk Beton Pedas Daun Jeruk 250gram,15000,Mega_Snack_095,Cimahi,24,4.7
Seblak Komplit⠀⠀,5400,lisdhacollection,Kab. Garut,4000,4.8
Kerupuk seblak kering kencur 500gram /seblak kering pedas daun jeruk,28700,oyun kriukzz,Jakarta Barat,750,4.9
bumbu seblak basah instan,26666,Kickball Official,Bandung,250,4.7
Baso Aci & Seblak Home Made,5500,Rodhi snack,Kab. Nganjuk,30,5.0
Basreng 250GR SEBLAK PEDAS MANIS ORIGINAL JONTOR SUPER ENAK,14850,Grosir Besar Kalimantan,Banjarbaru,20,4.8
Kerupuk seblak beton as kering cikruh 1 kg bumbu organik pedas gurih,49000,kerudung bunga,Cimahi,25,4.8
Kerupuk jengkol dan seblak beton (satu paket) rasa pedas kemasan 250 g,15500,Seblak Guludug Bandung,Kab. Bandung,16,5.0
SEBLAK INSTAN TERMURAH,3500,Cemilan-Ce,Kab. Sidoarjo,100,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",76000,kylafood,Bandung,750,4.9
Kerupuk Seblak Pedas 200gram,18000,toko bemo,Jakarta Timur,100,4.8
SEBLAK INSTAN MANG MUSS - LEVEL 10,13999,Seblak Mang Muss,Tasikmalaya,750,4.9
Seblak Rempah Autentik isi 5 pcs,63000,Kylafood Jakarta,Jakarta Selatan,100,4.9
Cemilan Snack Kekinian | varian Kerupuk Seblak - Original,8000,SNACK TIMEE,Medan,0,0.0
"Cemilan Snack Krupuk Seblak Pedas Bawang Kencur, Kerupuk Warna Warni Pedes & Renyah - 100 gr",8500,Toko Jajan Murah Online,Surabaya,0,0.0
Kerupuk seblak mentah/kerupuk ikan udang/kerupuk Oren 250gram.,7500,Ambar rempah,Tangerang Selatan,0,0.0
kerupuk seblak pedas 1 kg / kerupuk seblak,35625,Adila_Putri_Snack,Kab.Ciamis,100,4.8
kerupuk seblak pedas/kerupuk jablai 100gram,8000,Warung Snackk,Tangerang,16,5.0
KERUPUK / KRUPUK SEBLAK RASA PEDAS / TERLARIS / KILOAN 500 GR,31164,Toko kue Sumber Mas,Jakarta Timur,100,4.8
Kerupuk Bawang Orange Dan Putih 1kg 1kilo Cocok Untuk Seblak Nasi Uduk - Putih,24500,Distributor-Jaya,Tangerang,100,5.0
Kerupuk Seblak Kencur Pedas 1 kg Termurah,8000,MuezzaSnack,Kab. Cirebon,22,4.8
SEBLAK INSTAN MOMMY,13900,Rav Jaya Display,Kab. Tangerang,1000,4.8
Pilus Cikur 1Kg Khas Garut Topping Baso Aci / Seblak,33000,Pedas Gilaa,Surabaya,500,4.9
KERUPUK/KRUPUK SEBLAK RASA PEDAS TERLARIS ISI 250 GRAM NETT,16695,Toko kue Sumber Mas,Jakarta Timur,250,4.9
kerupuk seblak ALN2 kemasan 100 gr,12000,grosir sembako Aln2,Kab. Bandung Barat,0,0.0
PROMO KEMERDEKAAN SEBLAK + KRISANG 200 GR,79000,Central Seblak Nusantara,Tangerang Selatan,0,0.0
Kylafood Paket Paket 2 Seblak Cup + 4 Seblak Autentik,71460,kylafood,Bandung,16,4.8
Pasar Keripik Kerupuk Seblak Mawar Mini Pedas size Kecil,12500,Pasar Keripik Bandung,Bandung,100,4.9
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,1000,4.9
SEBLAK INSTAN SAJODO SNACK,18500,Sajodo Snack & Food,Tasikmalaya,100,4.8
"Toping Seblak Baso Aci PAKET MIX 150pcs Cuanki Lidah, Siomay dan Baso",42500,gaiagarut,Kab. Garut,250,4.8
"baso aci, bakso aci, cuanki, seblak instan, boci",8000,baso aci masabi,Jakarta Selatan,2000,4.8
seblak basreng pedas original exstra daun jeruk 500gram,25000,seblak bandung99,Kab. Bandung,2000,4.8
1 Kg Kerupuk Seblak Kencur Bantet Pedas Nikmat Harga Camilan Grosir Snack Viral,7400,Grosir Jaya Snack,Surabaya,3,0.0
"BATAGOR MINI KERING 100 PCS TOPING BASO ACI, SEBLAK DAN MIE INSTAN",11000,global cookware1,Jakarta Barat,750,4.9
^; Seblak Rafael Asli Original | Seblak Coet Mamang Rafael,28000,siskaarinang2,Bandung,17,5.0
baso aci / seblak instan,6000,Nyum_mama,Pekanbaru,70,4.6
Seblak Beton 1kg Pedas Daun Jeruk / Seblak Kerupuk JAAT 1kg,37500,D&R-9 collection,Bandung,60,4.8
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,16000,DUO BOCIL SNACK,Depok,250,4.9
KERUPUK PEDAS SEBLAK 250 GR - sebring,18000,TOKO KUE MEISYA 2,Jakarta Pusat,50,4.9
cuanki tahu kering seblak isi 50 pcs toping seblak baso aci,12500,CUANKI CULAMETAN,Kab. Garut,500,4.9
Kerupuk seblak pedas 500 Grm / kerupuk seblak pedas kencur,22500,adistri snack,Kab.Ciamis,1,0.0
Kerupuk Seblak Pedas Mimi,18000,Snack Zone Official,Jakarta Selatan,80,4.9
Kylafood Seblak Tulang Rawan Play,21675,kylafood,Bandung,750,4.9
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,19000,Lidigeli,Kab. Garut,500,4.8
GRATIS ONGKIR SEBLAK INSTAN/SEBLAK BANDUNG/SEBLAK GARUT/MURAH MANTAP,3999,MarkCi .id,Kab. Garut,100,4.4
11 BUNGKUS SEBLAK MAMANG PAKET RESELLER,55000,global cookware1,Jakarta Barat,80,5.0
Kylafood Seblak Tulang Rawan,22950,kylafood,Bandung,8000,4.9
SEBLAK JUARA INSTAN MASAK BASAH ASLI BANDUNG ENAK MANTAP,22000,Rasa Juara Indonesia,Kab. Bandung,1000,4.9
Seblak Ceker Cap Dua Putra,8000,Medina Snack Grosir,Kab. Sukabumi,100,5.0
seblak instan jeletot jajanan hits bandung 1 porsi,4180,tokomakanankalimantan,Jakarta Barat,1000,4.8
KERUPUK JABLAY BANTET SEBLAK PELANGI,15999,Toko kue Sumber Mas,Jakarta Timur,500,4.9
SEBLAK KERING CIKRUH BUMBU KACANG VARIAN CAMPUR KEMASAN 1 KG,57999,Simshop_,Cimahi,18,5.0
Seblak Tulang Rangu Nyai Mercon,21000,Jajanan Hits (JS),Tangerang Selatan,70,5.0
Kylafood paket 2 Seblak cup + 2 Seblak rempah autentik,48240,kylafood,Bandung,15,4.8
